commodity,region,date,price,volume_arrivals_tonnes,source,is_real_record
soybean,Madhya Pradesh,2025-09-01,4820.0,850.0,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-02,4821.7,849.3,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-03,4823.3,847.0,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-04,4825.0,843.3,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-05,4826.6,838.2,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-06,4828.2,831.6,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-08,4831.3,814.7,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-09,4832.8,804.5,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-10,4834.2,793.2,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-11,4835.6,781.0,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-12,4836.9,768.0,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-13,4838.1,754.4,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-15,4840.3,725.5,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-16,4841.3,710.6,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-17,4842.2,695.6,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-18,4843.0,680.7,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-19,4843.7,665.9,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-20,4844.3,651.5,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-22,4845.2,624.3,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-23,4845.5,611.7,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-24,4845.7,600.1,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-25,4845.8,589.4,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-26,4845.8,579.8,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-27,4845.7,571.5,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-29,4845.2,558.7,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-09-30,4844.8,554.4,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-01,4844.3,551.5,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-02,4843.8,550.1,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-03,4843.1,550.3,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-04,4842.4,551.9,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-06,4840.7,559.5,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-07,4695.7,1115.7,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-08,4693.4,1165.1,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-09,4691.1,1215.0,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-10,4689.1,1264.8,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-11,4687.3,1313.5,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-13,4684.4,1404.8,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-14,4683.3,1446.1,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-15,4682.5,1483.5,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-16,4681.9,1516.4,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-17,4681.7,1544.5,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-18,4681.8,1567.1,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-20,4682.8,1595.0,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-21,4683.7,1599.8,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-22,4685.0,1598.3,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-23,4686.5,1590.6,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-24,4688.3,1576.9,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-25,4690.3,1557.2,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-27,4695.1,1501.6,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-28,4697.7,1466.4,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-29,4700.6,1427.2,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-30,4703.5,1384.4,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-10-31,4706.6,1338.7,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-01,4709.8,1290.8,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-03,4716.3,1191.6,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-04,4719.5,1141.8,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-05,4722.7,1092.9,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-06,4725.8,1045.7,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-07,4728.9,1000.9,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-08,4731.8,959.2,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-10,4737.2,887.7,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-11,4739.6,858.9,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-12,4741.8,835.5,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-13,4743.8,817.8,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-14,4745.5,806.1,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-15,4746.9,800.5,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-17,4748.9,808.0,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-18,4749.5,821.0,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-19,4749.7,839.9,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-20,4749.7,864.4,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-21,4749.3,894.1,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-22,4748.7,928.6,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-24,4746.6,1009.8,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-25,4745.2,1055.1,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-26,4743.5,1102.8,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-27,4741.6,1151.9,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-28,4739.5,1201.8,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-11-29,4737.3,1251.6,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-01,4732.3,1348.2,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-02,4848.7,553.8,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-03,4850.3,551.2,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-04,4851.9,550.0,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-05,4853.4,550.4,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-06,4854.9,552.3,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-08,4857.6,560.4,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-09,4858.9,566.6,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-10,4860.2,574.1,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-11,4861.3,582.9,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-12,4862.4,592.9,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-13,4863.3,603.9,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-15,4865.0,628.7,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-16,4865.7,642.2,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-17,4866.3,656.3,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-18,4866.8,670.9,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-19,4867.2,685.7,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-20,4867.5,700.7,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-22,4867.8,730.5,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-23,4867.8,745.0,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-24,4867.7,759.0,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-25,4867.5,772.5,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-26,4867.2,785.2,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-27,4866.8,797.1,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-29,4865.7,817.9,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-30,4865.1,826.6,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2025-12-31,4864.3,834.0,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-01,4863.5,840.0,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-02,4862.7,844.7,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-03,4861.8,847.9,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-05,4859.7,849.9,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-06,4858.7,848.7,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-07,4857.6,845.9,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-08,4856.4,841.7,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-09,4855.3,836.1,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-10,4854.1,829.1,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-12,4851.7,811.4,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-13,4850.6,800.8,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-14,4849.4,789.2,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-15,4848.3,776.8,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-16,4847.2,763.5,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-17,4846.1,749.6,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-19,4844.1,720.5,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-20,4843.2,705.6,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-21,4842.3,690.6,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-22,4841.5,675.7,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-23,4840.8,661.0,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-24,4840.2,646.8,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-26,4839.2,620.0,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-27,4838.8,607.7,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-28,4838.5,596.4,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-29,4838.3,586.0,Agmarknet (Indore & Dewas Mandi),True
soybean,Madhya Pradesh,2026-01-30,4838.2,576.9,Agmarknet (Indore & Dewas Mandi),True
